# wavelength_A  flux_norm
5715.26441  1.00000000
5715.40193  1.00000000
5715.53944  1.00000000
5715.67696  1.00000000
5715.81448  1.00000000
5715.95199  1.00000000
5716.08951  1.00000000
5716.22703  1.00000000
5716.36455  1.00000000
5716.50206  1.00000000
5716.63958  1.00000000
5716.77710  1.00000000
5716.91461  1.00000000
5717.05213  1.00000000
5717.18965  1.00000000
5717.32717  1.00000000
5717.46468  1.00000000
5717.60220  1.00000000
5717.73972  1.00000000
5717.87723  1.00000000
5718.01475  1.00000000
5718.15227  1.00000000
5718.28979  1.00000000
5718.42730  1.00000000
5718.56482  1.00000000
5718.70234  1.00000000
5718.83985  1.00000000
5718.97737  1.00000000
5719.11489  1.00000000
5719.25241  1.00000000
5719.38992  1.00000000
5719.52744  1.00000000
5719.66496  1.00000000
5719.80248  1.00000000
5719.93999  1.00000000
5720.07751  1.00000000
5720.21503  1.00000000
5720.35254  1.00000000
5720.49006  1.00000000
5720.62758  1.00000000
5720.76510  1.00000000
5720.90261  1.00000000
5721.04013  1.00000000
5721.17765  1.00000000
5721.31516  1.00000000
5721.45268  1.00000000
5721.59020  1.00000000
5721.72772  1.00000000
5721.86523  1.00000000
5722.00275  1.00000000
5722.14027  1.00000000
5722.27778  1.00000000
5722.41530  1.00000000
5722.55282  1.00000000
5722.69034  1.00000000
5722.82785  1.00000000
5722.96537  1.00000000
5723.10289  1.00000000
5723.24041  1.00000000
5723.37792  1.00000000
5723.51544  1.00000000
5723.65296  1.00000000
5723.79047  1.00000000
5723.92799  1.00000000
5724.06551  1.00000000
5724.20303  1.00000000
5724.34054  1.00000000
5724.47806  1.00000000
5724.61558  1.00000000
5724.75309  1.00000000
5724.89061  1.00000000
5725.02813  1.00000000
5725.16565  1.00000000
5725.30316  1.00000000
5725.44068  1.00000000
5725.57820  1.00000000
5725.71571  1.00000000
5725.85323  1.00000000
5725.99075  1.00000000
5726.12827  1.00000000
5726.26578  1.00000000
5726.40330  1.00000000
5726.54082  1.00000000
5726.67833  1.00000000
5726.81585  1.00000000
5726.95337  1.00000000
5727.09089  1.00000000
5727.22840  1.00000000
5727.36592  1.00000000
5727.50344  1.00000000
5727.64096  1.00000000
5727.77847  1.00000000
5727.91599  1.00000000
5728.05351  1.00000000
5728.19102  1.00000000
5728.32854  1.00000000
5728.46606  1.00000000
5728.60358  1.00000000
5728.74109  1.00000000
5728.87861  1.00000000
5729.01613  1.00000000
5729.15364  1.00000000
5729.29116  1.00000000
5729.42868  1.00000000
5729.56620  1.00000000
5729.70371  1.00000000
5729.84123  1.00000000
5729.97875  1.00000000
5730.11626  1.00000000
5730.25378  1.00000000
5730.39130  1.00000000
5730.52882  1.00000000
5730.66633  1.00000000
5730.80385  1.00000000
5730.94137  1.00000000
5731.07888  1.00000000
5731.21640  1.00000000
5731.35392  1.00000000
5731.49144  1.00000000
5731.62895  1.00000000
5731.76647  1.00000000
5731.90399  1.00000000
5732.04151  1.00000000
5732.17902  1.00000000
5732.31654  1.00000000
5732.45406  1.00000000
5732.59157  1.00000000
5732.72909  1.00000000
5732.86661  1.00000000
5733.00413  1.00000000
5733.14164  1.00000000
5733.27916  1.00000000
5733.41668  1.00000000
5733.55419  1.00000000
5733.69171  1.00000000
5733.82923  1.00000000
5733.96675  1.00000000
5734.10426  1.00000000
5734.24178  1.00000000
5734.37930  1.00000000
5734.51681  1.00000000
5734.65433  1.00000000
5734.79185  1.00000000
5734.92937  1.00000000
5735.06688  1.00000000
5735.20440  1.00000000
5735.34192  1.00000000
5735.47943  1.00000000
5735.61695  1.00000000
5735.75447  1.00000000
5735.89199  1.00000000
5736.02950  1.00000000
5736.16702  1.00000000
5736.30454  1.00000000
5736.44206  1.00000000
5736.57957  1.00000000
5736.71709  1.00000000
5736.85461  1.00000000
5736.99212  1.00000000
5737.12964  1.00000000
5737.26716  1.00000000
5737.40468  1.00000000
5737.54219  1.00000000
5737.67971  1.00000000
5737.81723  1.00000000
5737.95474  1.00000000
5738.09226  1.00000000
5738.22978  1.00000000
5738.36730  1.00000000
5738.50481  1.00000000
5738.64233  1.00000000
5738.77985  1.00000000
5738.91736  1.00000000
5739.05488  1.00000000
5739.19240  1.00000000
5739.32992  1.00000000
5739.46743  1.00000000
5739.60495  1.00000000
5739.74247  1.00000000
5739.87998  1.00000000
5740.01750  1.00000000
5740.15502  1.00000000
5740.29254  1.00000000
5740.43005  1.00000000
5740.56757  1.00000000
5740.70509  1.00000000
5740.84261  1.00000000
5740.98012  1.00000000
5741.11764  1.00000000
5741.25516  1.00000000
5741.39267  1.00000000
5741.53019  1.00000000
5741.66771  1.00000000
5741.80523  1.00000000
5741.94274  1.00000000
5742.08026  1.00000000
5742.21778  1.00000000
5742.35529  1.00000000
5742.49281  1.00000000
5742.63033  1.00000000
5742.76785  1.00000000
5742.90536  1.00000000
5743.04288  1.00000000
5743.18040  1.00000000
5743.31791  1.00000000
5743.45543  1.00000000
5743.59295  1.00000000
5743.73047  1.00000000
5743.86798  1.00000000
5744.00550  1.00000000
5744.14302  1.00000000
5744.28054  1.00000000
5744.41805  1.00000000
5744.55557  1.00000000
5744.69309  1.00000000
5744.83060  1.00000000
5744.96812  1.00000000
5745.10564  1.00000000
5745.24316  1.00000000
5745.38067  1.00000000
5745.51819  1.00000000
5745.65571  1.00000000
5745.79322  1.00000000
5745.93074  1.00000000
5746.06826  1.00000000
5746.20578  1.00000000
5746.34329  1.00000000
5746.48081  1.00000000
5746.61833  1.00000000
5746.75584  1.00000000
5746.89336  1.00000000
5747.03088  1.00000000
5747.16840  1.00000000
5747.30591  1.00000000
5747.44343  1.00000000
5747.58095  1.00000000
5747.71846  1.00000000
5747.85598  1.00000000
5747.99350  1.00000000
5748.13102  1.00000000
5748.26853  1.00000000
5748.40605  1.00000000
5748.54357  1.00000000
5748.68109  1.00000000
5748.81860  1.00000000
5748.95612  1.00000000
5749.09364  1.00000000
5749.23115  1.00000000
5749.36867  1.00000000
5749.50619  1.00000000
5749.64371  1.00000000
5749.78122  1.00000000
5749.91874  1.00000000
5750.05626  1.00000000
5750.19377  1.00000000
5750.33129  1.00000000
5750.46881  1.00000000
5750.60633  1.00000000
5750.74384  1.00000000
5750.88136  1.00000000
5751.01888  1.00000000
5751.15639  1.00000000
5751.29391  1.00000000
5751.43143  1.00000000
5751.56895  1.00000000
5751.70646  1.00000000
5751.84398  1.00000000
5751.98150  1.00000000
5752.11901  1.00000000
5752.25653  1.00000000
5752.39405  1.00000000
5752.53157  1.00000000
5752.66908  1.00000000
5752.80660  1.00000000
5752.94412  1.00000000
5753.08164  1.00000000
5753.21915  1.00000000
5753.35667  1.00000000
5753.49419  1.00000000
5753.63170  1.00000000
5753.76922  1.00000000
5753.90674  1.00000000
5754.04426  1.00000000
5754.18177  1.00000000
5754.31929  1.00000000
5754.45681  1.00000000
5754.59432  1.00000000
5754.73184  1.00000000
5754.86936  1.00000000
5755.00688  1.00000000
5755.14439  1.00000000
5755.28191  1.00000000
5755.41943  1.00000000
5755.55694  1.00000000
5755.69446  1.00000000
5755.83198  1.00000000
5755.96950  1.00000000
5756.10701  1.00000000
5756.24453  1.00000000
5756.38205  1.00000000
5756.51956  1.00000000
5756.65708  1.00000000
5756.79460  1.00000000
5756.93212  1.00000000
5757.06963  1.00000000
5757.20715  1.00000000
5757.34467  1.00000000
5757.48219  1.00000000
5757.61970  1.00000000
5757.75722  1.00000000
5757.89474  1.00000000
5758.03225  1.00000000
5758.16977  1.00000000
5758.30729  1.00000000
5758.44481  1.00000000
5758.58232  1.00000000
5758.71984  1.00000000
5758.85736  1.00000000
5758.99487  1.00000000
5759.13239  1.00000000
5759.26991  1.00000000
5759.40743  1.00000000
5759.54494  1.00000000
5759.68246  1.00000000
5759.81998  1.00000000
5759.95749  1.00000000
5760.09501  1.00000000
5760.23253  1.00000000
5760.37005  1.00000000
5760.50756  1.00000000
5760.64508  1.00000000
5760.78260  1.00000000
5760.92012  1.00000000
5761.05763  1.00000000
5761.19515  1.00000000
5761.33267  1.00000000
5761.47018  1.00000000
5761.60770  1.00000000
5761.74522  1.00000000
5761.88274  1.00000000
5762.02025  1.00000000
5762.15777  1.00000000
5762.29529  1.00000000
5762.43280  1.00000000
5762.57032  1.00000000
5762.70784  1.00000000
5762.84536  1.00000000
5762.98287  1.00000000
5763.12039  1.00000000
5763.25791  1.00000000
5763.39542  1.00000000
5763.53294  1.00000000
5763.67046  1.00000000
5763.80798  1.00000000
5763.94549  1.00000000
5764.08301  1.00000000
5764.22053  1.00000000
5764.35804  1.00000000
5764.49556  1.00000000
5764.63308  1.00000000
5764.77060  1.00000000
5764.90811  1.00000000
5765.04563  1.00000000
5765.18315  1.00000000
5765.32067  1.00000000
5765.45818  1.00000000
5765.59570  1.00000000
5765.73322  1.00000000
5765.87073  1.00000000
5766.00825  1.00000000
5766.14577  1.00000000
5766.28329  1.00000000
5766.42080  1.00000000
5766.55832  1.00000000
5766.69584  1.00000000
5766.83335  1.00000000
5766.97087  1.00000000
5767.10839  1.00000000
5767.24591  1.00000000
5767.38342  1.00000000
5767.52094  1.00000000
5767.65846  1.00000000
5767.79597  1.00000000
5767.93349  1.00000000
5768.07101  1.00000000
5768.20853  1.00000000
5768.34604  1.00000000
5768.48356  1.00000000
5768.62108  1.00000000
5768.75859  1.00000000
5768.89611  1.00000000
5769.03363  1.00000000
5769.17115  1.00000000
5769.30866  1.00000000
5769.44618  1.00000000
5769.58370  1.00000000
5769.72122  1.00000000
5769.85873  1.00000000
5769.99625  1.00000000
5770.13377  1.00000000
5770.27128  1.00000000
5770.40880  1.00000000
5770.54632  1.00000000
5770.68384  1.00000000
5770.82135  1.00000000
5770.95887  1.00000000
5771.09639  1.00000000
5771.23390  1.00000000
5771.37142  1.00000000
5771.50894  1.00000000
5771.64646  1.00000000
5771.78397  1.00000000
5771.92149  1.00000000
5772.05901  1.00000000
5772.19652  1.00000000
5772.33404  1.00000000
5772.47156  1.00000000
5772.60908  1.00000000
5772.74659  1.00000000
5772.88411  1.00000000
5773.02163  1.00000000
5773.15914  1.00000000
5773.29666  1.00000000
5773.43418  1.00000000
5773.57170  1.00000000
5773.70921  1.00000000
5773.84673  1.00000000
5773.98425  1.00000000
5774.12177  1.00000000
5774.25928  1.00000000
5774.39680  1.00000000
5774.53432  1.00000000
5774.67183  1.00000000
5774.80935  1.00000000
5774.94687  1.00000000
5775.08439  1.00000000
5775.22190  1.00000000
5775.35942  1.00000000
5775.49694  1.00000000
5775.63445  1.00000000
5775.77197  1.00000000
5775.90949  1.00000000
5776.04701  1.00000000
5776.18452  1.00000000
5776.32204  1.00000000
5776.45956  1.00000000
5776.59707  1.00000000
5776.73459  1.00000000
5776.87211  1.00000000
5777.00963  1.00000000
5777.14714  1.00000000
5777.28466  1.00000000
5777.42218  1.00000000
5777.55969  1.00000000
5777.69721  1.00000000
5777.83473  1.00000000
5777.97225  1.00000000
5778.10976  1.00000000
5778.24728  1.00000000
5778.38480  1.00000000
5778.52232  1.00000000
5778.65983  1.00000000
5778.79735  1.00000000
5778.93487  1.00000000
5779.07238  1.00000000
5779.20990  1.00000000
5779.34742  1.00000000
5779.48494  1.00000000
5779.62245  1.00000000
5779.75997  1.00000000
5779.89749  1.00000000
5780.03500  1.00000000
5780.17252  1.00000000
5780.31004  1.00000000
5780.44756  1.00000000
5780.58507  1.00000000
5780.72259  1.00000000
5780.86011  1.00000000
5780.99762  1.00000000
5781.13514  1.00000000
5781.27266  1.00000000
5781.41018  1.00000000
5781.54769  1.00000000
5781.68521  1.00000000
5781.82273  1.00000000
5781.96025  1.00000000
5782.09776  1.00000000
5782.23528  1.00000000
5782.37280  1.00000000
5782.51031  1.00000000
5782.64783  1.00000000
5782.78535  1.00000000
5782.92287  1.00000000
5783.06038  1.00000000
5783.19790  1.00000000
5783.33542  1.00000000
5783.47293  1.00000000
5783.61045  1.00000000
5783.74797  1.00000000
5783.88549  1.00000000
5784.02300  1.00000000
5784.16052  1.00000000
5784.29804  1.00000000
5784.43555  1.00000000
5784.57307  1.00000000
5784.71059  1.00000000
5784.84811  1.00000000
5784.98562  1.00000000
5785.12314  1.00000000
5785.26066  1.00000000
5785.39817  1.00000000
5785.53569  1.00000000
5785.67321  1.00000000
5785.81073  1.00000000
5785.94824  1.00000000
5786.08576  1.00000000
5786.22328  1.00000000
5786.36080  1.00000000
5786.49831  1.00000000
5786.63583  1.00000000
5786.77335  1.00000000
5786.91086  1.00000000
5787.04838  1.00000000
5787.18590  1.00000000
5787.32342  1.00000000
5787.46093  1.00000000
5787.59845  1.00000000
5787.73597  1.00000000
5787.87348  1.00000000
5788.01100  1.00000000
5788.14852  1.00000000
5788.28604  1.00000000
5788.42355  1.00000000
5788.56107  1.00000000
5788.69859  1.00000000
5788.83610  1.00000000
5788.97362  1.00000000
5789.11114  1.00000000
5789.24866  1.00000000
5789.38617  1.00000000
5789.52369  1.00000000
5789.66121  1.00000000
5789.79872  1.00000000
5789.93624  1.00000000
5790.07376  1.00000000
5790.21128  1.00000000
5790.34879  1.00000000
5790.48631  1.00000000
5790.62383  1.00000000
5790.76135  1.00000000
5790.89886  1.00000000
5791.03638  1.00000000
5791.17390  1.00000000
5791.31141  1.00000000
5791.44893  1.00000000
5791.58645  1.00000000
5791.72397  1.00000000
5791.86148  1.00000000
5791.99900  1.00000000
5792.13652  1.00000000
5792.27403  1.00000000
5792.41155  1.00000000
5792.54907  1.00000000
5792.68659  1.00000000
5792.82410  1.00000000
5792.96162  1.00000000
5793.09914  1.00000000
5793.23665  1.00000000
5793.37417  1.00000000
5793.51169  1.00000000
5793.64921  1.00000000
5793.78672  1.00000000
5793.92424  1.00000000
5794.06176  1.00000000
5794.19927  1.00000000
5794.33679  1.00000000
5794.47431  1.00000000
5794.61183  1.00000000
5794.74934  1.00000000
5794.88686  1.00000000
5795.02438  1.00000000
5795.16190  1.00000000
5795.29941  1.00000000
5795.43693  1.00000000
5795.57445  1.00000000
5795.71196  1.00000000
5795.84948  1.00000000
5795.98700  1.00000000
5796.12452  1.00000000
5796.26203  1.00000000
5796.39955  1.00000000
5796.53707  1.00000000
5796.67458  1.00000000
5796.81210  1.00000000
5796.94962  1.00000000
5797.08714  1.00000000
5797.22465  1.00000000
5797.36217  1.00000000
5797.49969  1.00000000
5797.63720  1.00000000
5797.77472  1.00000000
5797.91224  1.00000000
5798.04976  1.00000000
5798.18727  1.00000000
5798.32479  1.00000000
5798.46231  1.00000000
5798.59982  1.00000000
5798.73734  1.00000000
5798.87486  1.00000000
5799.01238  1.00000000
5799.14989  1.00000000
5799.28741  1.00000000
5799.42493  1.00000000
5799.56245  1.00000000
5799.69996  1.00000000
5799.83748  1.00000000
5799.97500  1.00000000
5800.11251  1.00000000
5800.25003  1.00000000
5800.38755  1.00000000
5800.52507  1.00000000
5800.66258  1.00000000
5800.80010  1.00000000
5800.93762  1.00000000
5801.07513  1.00000000
5801.21265  1.00000000
5801.35017  1.00000000
5801.48769  1.00000000
5801.62520  1.00000000
5801.76272  1.00000000
5801.90024  1.00000000
5802.03775  1.00000000
5802.17527  1.00000000
5802.31279  1.00000000
5802.45031  1.00000000
5802.58782  1.00000000
5802.72534  1.00000000
5802.86286  1.00000000
5803.00038  1.00000000
5803.13789  1.00000000
5803.27541  1.00000000
5803.41293  1.00000000
5803.55044  1.00000000
5803.68796  1.00000000
5803.82548  1.00000000
5803.96300  1.00000000
5804.10051  1.00000000
5804.23803  1.00000000
5804.37555  1.00000000
5804.51306  1.00000000
5804.65058  1.00000000
5804.78810  1.00000000
5804.92562  1.00000000
5805.06313  1.00000000
5805.20065  1.00000000
5805.33817  1.00000000
5805.47568  1.00000000
5805.61320  1.00000000
5805.75072  1.00000000
5805.88824  1.00000000
5806.02575  1.00000000
5806.16327  1.00000000
5806.30079  1.00000000
5806.43830  1.00000000
5806.57582  1.00000000
5806.71334  1.00000000
5806.85086  1.00000000
5806.98837  1.00000000
5807.12589  1.00000000
5807.26341  1.00000000
5807.40093  1.00000000
5807.53844  1.00000000
5807.67596  1.00000000
5807.81348  1.00000000
5807.95099  1.00000000
5808.08851  1.00000000
5808.22603  1.00000000
5808.36355  1.00000000
5808.50106  1.00000000
5808.63858  1.00000000
5808.77610  1.00000000
5808.91361  1.00000000
5809.05113  1.00000000
5809.18865  1.00000000
5809.32617  1.00000000
5809.46368  1.00000000
5809.60120  1.00000000
5809.73872  1.00000000
5809.87623  1.00000000
5810.01375  1.00000000
5810.15127  1.00000000
5810.28879  1.00000000
5810.42630  1.00000000
5810.56382  1.00000000
5810.70134  1.00000000
5810.83885  1.00000000
5810.97637  1.00000000
5811.11389  1.00000000
5811.25141  1.00000000
5811.38892  1.00000000
5811.52644  1.00000000
5811.66396  1.00000000
5811.80148  1.00000000
5811.93899  1.00000000
5812.07651  1.00000000
5812.21403  1.00000000
5812.35154  1.00000000
5812.48906  1.00000000
5812.62658  1.00000000
5812.76410  1.00000000
5812.90161  1.00000000
5813.03913  1.00000000
5813.17665  1.00000000
5813.31416  1.00000000
5813.45168  1.00000000
5813.58920  1.00000000
5813.72672  1.00000000
5813.86423  1.00000000
5814.00175  1.00000000
5814.13927  1.00000000
5814.27678  1.00000000
5814.41430  1.00000000
5814.55182  1.00000000
5814.68934  1.00000000
5814.82685  1.00000000
5814.96437  1.00000000
5815.10189  1.00000000
5815.23940  1.00000000
5815.37692  1.00000000
5815.51444  1.00000000
5815.65196  1.00000000
5815.78947  1.00000000
5815.92699  1.00000000
5816.06451  1.00000000
5816.20203  1.00000000
5816.33954  1.00000000
5816.47706  1.00000000
5816.61458  1.00000000
5816.75209  1.00000000
5816.88961  1.00000000
5817.02713  1.00000000
5817.16465  1.00000000
5817.30216  1.00000000
5817.43968  1.00000000
5817.57720  1.00000000
5817.71471  1.00000000
5817.85223  1.00000000
5817.98975  1.00000000
5818.12727  1.00000000
5818.26478  1.00000000
5818.40230  1.00000000
5818.53982  1.00000000
5818.67733  1.00000000
5818.81485  1.00000000
5818.95237  1.00000000
5819.08989  1.00000000
5819.22740  1.00000000
5819.36492  1.00000000
5819.50244  1.00000000
5819.63995  1.00000000
5819.77747  1.00000000
5819.91499  1.00000000
5820.05251  1.00000000
5820.19002  1.00000000
5820.32754  1.00000000
5820.46506  1.00000000
5820.60258  1.00000000
5820.74009  1.00000000
5820.87761  1.00000000
5821.01513  1.00000000
5821.15264  1.00000000
5821.29016  1.00000000
5821.42768  1.00000000
5821.56520  1.00000000
5821.70271  1.00000000
5821.84023  1.00000000
5821.97775  1.00000000
5822.11526  1.00000000
5822.25278  1.00000000
5822.39030  1.00000000
5822.52782  1.00000000
5822.66533  1.00000000
5822.80285  1.00000000
5822.94037  1.00000000
5823.07788  1.00000000
5823.21540  1.00000000
5823.35292  1.00000000
5823.49044  1.00000000
5823.62795  1.00000000
5823.76547  1.00000000
5823.90299  1.00000000
5824.04051  1.00000000
5824.17802  1.00000000
5824.31554  1.00000000
5824.45306  1.00000000
5824.59057  1.00000000
5824.72809  1.00000000
5824.86561  1.00000000
5825.00313  1.00000000
5825.14064  1.00000000
5825.27816  1.00000000
5825.41568  1.00000000
5825.55319  1.00000000
5825.69071  1.00000000
5825.82823  1.00000000
5825.96575  1.00000000
5826.10326  1.00000000
5826.24078  1.00000000
5826.37830  1.00000000
5826.51581  1.00000000
5826.65333  1.00000000
5826.79085  1.00000000
5826.92837  1.00000000
5827.06588  1.00000000
5827.20340  1.00000000
5827.34092  1.00000000
5827.47843  1.00000000
5827.61595  1.00000000
5827.75347  1.00000000
5827.89099  1.00000000
5828.02850  1.00000000
5828.16602  1.00000000
5828.30354  1.00000000
5828.44106  1.00000000
5828.57857  1.00000000
5828.71609  1.00000000
5828.85361  1.00000000
5828.99112  1.00000000
5829.12864  1.00000000
5829.26616  1.00000000
5829.40368  1.00000000
5829.54119  1.00000000
5829.67871  1.00000000
5829.81623  1.00000000
5829.95374  1.00000000
5830.09126  1.00000000
5830.22878  1.00000000
5830.36630  1.00000000
5830.50381  1.00000000
5830.64133  1.00000000
5830.77885  1.00000000
5830.91636  1.00000000
5831.05388  1.00000000
5831.19140  1.00000000
5831.32892  1.00000000
5831.46643  1.00000000
5831.60395  1.00000000
5831.74147  1.00000000
5831.87898  1.00000000
5832.01650  1.00000000
5832.15402  1.00000000
5832.29154  1.00000000
5832.42905  1.00000000
5832.56657  1.00000000
5832.70409  1.00000000
5832.84161  1.00000000
5832.97912  1.00000000
5833.11664  1.00000000
5833.25416  1.00000000
5833.39167  1.00000000
5833.52919  1.00000000
5833.66671  1.00000000
5833.80423  1.00000000
5833.94174  1.00000000
5834.07926  1.00000000
5834.21678  1.00000000
5834.35429  1.00000000
5834.49181  1.00000000
5834.62933  1.00000000
5834.76685  1.00000000
5834.90436  1.00000000
5835.04188  1.00000000
5835.17940  1.00000000
5835.31691  1.00000000
5835.45443  1.00000000
5835.59195  1.00000000
5835.72947  1.00000000
5835.86698  1.00000000
5836.00450  1.00000000
5836.14202  1.00000000
5836.27953  1.00000000
5836.41705  1.00000000
5836.55457  1.00000000
5836.69209  1.00000000
5836.82960  1.00000000
5836.96712  1.00000000
5837.10464  1.00000000
5837.24216  1.00000000
5837.37967  1.00000000
5837.51719  1.00000000
5837.65471  1.00000000
5837.79222  1.00000000
5837.92974  1.00000000
5838.06726  1.00000000
5838.20478  1.00000000
5838.34229  1.00000000
5838.47981  1.00000000
5838.61733  1.00000000
5838.75484  1.00000000
5838.89236  1.00000000
5839.02988  1.00000000
5839.16740  1.00000000
5839.30491  1.00000000
5839.44243  1.00000000
5839.57995  1.00000000
5839.71746  1.00000000
5839.85498  1.00000000
5839.99250  1.00000000
5840.13002  1.00000000
5840.26753  1.00000000
5840.40505  1.00000000
5840.54257  1.00000000
5840.68009  1.00000000
5840.81760  1.00000000
5840.95512  1.00000000
5841.09264  1.00000000
5841.23015  1.00000000
5841.36767  1.00000000
5841.50519  1.00000000
5841.64271  1.00000000
5841.78022  1.00000000
5841.91774  1.00000000
5842.05526  1.00000000
5842.19277  1.00000000
5842.33029  1.00000000
5842.46781  1.00000000
5842.60533  1.00000000
5842.74284  1.00000000
5842.88036  1.00000000
5843.01788  1.00000000
5843.15539  1.00000000
5843.29291  1.00000000
5843.43043  1.00000000
5843.56795  1.00000000
5843.70546  1.00000000
5843.84298  1.00000000
5843.98050  1.00000000
5844.11801  1.00000000
5844.25553  1.00000000
5844.39305  1.00000000
5844.53057  1.00000000
5844.66808  1.00000000
5844.80560  1.00000000
5844.94312  1.00000000
5845.08064  1.00000000
5845.21815  1.00000000
5845.35567  1.00000000
5845.49319  1.00000000
5845.63070  1.00000000
5845.76822  1.00000000
5845.90574  1.00000000
5846.04326  1.00000000
5846.18077  1.00000000
5846.31829  1.00000000
5846.45581  1.00000000
5846.59332  1.00000000
5846.73084  1.00000000
5846.86836  1.00000000
5847.00588  1.00000000
5847.14339  1.00000000
5847.28091  1.00000000
5847.41843  1.00000000
5847.55594  1.00000000
5847.69346  1.00000000
5847.83098  1.00000000
5847.96850  1.00000000
5848.10601  1.00000000
5848.24353  1.00000000
5848.38105  1.00000000
5848.51856  1.00000000
5848.65608  1.00000000
5848.79360  1.00000000
5848.93112  1.00000000
5849.06863  1.00000000
5849.20615  1.00000000
5849.34367  1.00000000
5849.48119  1.00000000
5849.61870  1.00000000
5849.75622  1.00000000
5849.89374  1.00000000
5850.03125  1.00000000
5850.16877  1.00000000
5850.30629  1.00000000
5850.44381  1.00000000
5850.58132  1.00000000
5850.71884  1.00000000
5850.85636  1.00000000
5850.99387  1.00000000
5851.13139  1.00000000
5851.26891  1.00000000
5851.40643  1.00000000
5851.54394  1.00000000
5851.68146  1.00000000
5851.81898  1.00000000
5851.95649  1.00000000
5852.09401  1.00000000
5852.23153  1.00000000
5852.36905  1.00000000
5852.50656  1.00000000
5852.64408  1.00000000
5852.78160  1.00000000
5852.91911  1.00000000
5853.05663  1.00000000
5853.19415  1.00000000
5853.33167  1.00000000
5853.46918  1.00000000
5853.60670  1.00000000
5853.74422  1.00000000
5853.88174  1.00000000
5854.01925  1.00000000
5854.15677  1.00000000
5854.29429  1.00000000
5854.43180  1.00000000
5854.56932  1.00000000
5854.70684  1.00000000
5854.84436  1.00000000
5854.98187  1.00000000
5855.11939  1.00000000
5855.25691  1.00000000
5855.39442  1.00000000
5855.53194  1.00000000
5855.66946  1.00000000
5855.80698  1.00000000
5855.94449  1.00000000
5856.08201  1.00000000
5856.21953  1.00000000
5856.35704  1.00000000
5856.49456  1.00000000
5856.63208  1.00000000
5856.76960  1.00000000
5856.90711  1.00000000
5857.04463  1.00000000
5857.18215  1.00000000
5857.31966  1.00000000
5857.45718  1.00000000
5857.59470  1.00000000
5857.73222  1.00000000
5857.86973  1.00000000
5858.00725  1.00000000
5858.14477  1.00000000
5858.28229  1.00000000
5858.41980  1.00000000
5858.55732  1.00000000
5858.69484  1.00000000
5858.83235  1.00000000
5858.96987  1.00000000
5859.10739  1.00000000
5859.24491  1.00000000
5859.38242  1.00000000
5859.51994  1.00000000
5859.65746  1.00000000
5859.79497  1.00000000
5859.93249  1.00000000
